case_id,account_id,customer_id,arrears_amount,days_past_due,collection_stage,last_contact_date,last_contact_channel,promise_to_pay_amount,promise_to_pay_date,arrangement_plan,status,assigned_collector,notes
COLL-202106-00001,ACC0011078,IND1907012587,1619.02,11,pre_delinquent,2021-06-03,branch_visit,,,,open,David Govender,"Win-back customer relapsed — prior case closed, reopened after NSF debit order. Debit order returned NSF for third time. Recommend restructuring."
COLL-202106-00002,ACC0002484,IND1902004147,2021.15,19,pre_delinquent,2021-06-20,sms,,,,open,Pieter van der Merwe,"Win-back customer relapsed — prior case closed, reopened after NSF debit order. Legal letter sent via registered post. Awaiting response before summons."
COLL-202106-00004,ACC0024125,IND2103005443,256.04,33,early_collections,2021-06-21,branch_visit,,,,open,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R1 500/month for 6 months starting 19 December.
COLL-202106-00005,ACC0019970,IND2006002288,1107.11,34,early_collections,2021-06-26,branch_visit,423.32,2021-07-01,,resolved,Sipho Naidoo,"New case opened from failed loan repayment and churned relationship status. Customer in Western Cape, low income band — hardship assessment required."
COLL-202106-00007,ACC0005644,IND1904013828,1470.98,28,pre_delinquent,2021-06-20,email,719.5,2021-06-21,,resolved,Nomsa Dlamini,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202106-00008,ACC0011803,IND1908019137,5833.02,89,late_collections,2021-06-17,phone_call,,,,open,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.
COLL-202106-00010,ACC0011330,IND1908011635,4422.36,45,early_collections,2021-06-03,letter,,,,open,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.
COLL-202106-00011,ACC0010199,IND1907004108,3141.24,100,legal,2021-06-19,phone_call,,,,closed,Zanele Ndlovu,"New case opened from failed loan repayment and churned relationship status. Customer called, says employer missed payroll. Promised R1 200 by month-end. Escalating to legal."
COLL-202106-00012,ACC0023463,IND2102012947,1164.89,6,pre_delinquent,2021-06-15,sms,,,,resolved,Pieter van der Merwe,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202106-00013,ACC0008572,IND1906014873,1298.41,112,legal,2021-06-28,sms,539.94,2021-06-13,,resolved,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance. Escalating to legal.
COLL-202106-00014,ACC0013606,IND1909009121,1667.85,84,late_collections,2021-06-18,phone_call,266.43,2021-06-21,,open,Thabo Mokoena,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00015,ACC0002397,IND1902011058,760.12,84,late_collections,2021-06-24,email,182.21,2021-06-26,,open,Pieter van der Merwe,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R182/month for 6 months starting 11 June.
COLL-202106-00016,ACC0025813,IND2104011443,1320.19,3,pre_delinquent,2021-06-26,sms,515.71,2021-06-29,,resolved,Pieter van der Merwe,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.
COLL-202106-00018,ACC0009573,IND1906007410,336.33,84,late_collections,2021-06-29,phone_call,135.75,2021-07-09,extended_term,open,Sipho Naidoo,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring. Arrangement: extended term.
COLL-202106-00019,ACC0023939,IND2102013326,1307.77,9,pre_delinquent,2021-06-04,letter,199.29,2021-06-25,,resolved,Zanele Ndlovu,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R199 cash. Account now current."
COLL-202106-00020,ACC0000233,IND1901001157,2071.0,17,pre_delinquent,2021-06-16,phone_call,,,,open,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202106-00021,ACC0013221,IND1909001239,4293.85,5,pre_delinquent,2021-06-08,sms,,,,resolved,Sipho Naidoo,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R2 500/month for 6 months starting 10 September.
COLL-202106-00023,ACC0020852,IND2010001387,711.73,9,pre_delinquent,2021-06-22,branch_visit,290.7,2021-06-20,,resolved,Nomsa Dlamini,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R291 cash. Account now current."
COLL-202106-00024,ACC0011330,IND1908011635,4682.83,32,early_collections,2021-06-07,email,2450.12,2021-06-07,,resolved,Ayanda Mthembu,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal."
COLL-202106-00025,ACC0014180,IND1909000217,1638.69,112,legal,2021-06-21,email,,,,open,David Govender,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled. Escalating to legal.
COLL-202106-00026,ACC0020428,IND2008000827,4685.74,52,early_collections,2021-06-14,letter,1170.31,2021-06-29,,open,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.
COLL-202106-00027,ACC0020312,IND2007001581,830.93,66,late_collections,2021-06-01,email,,,,resolved,Zanele Ndlovu,"New case opened from failed loan repayment and churned relationship status. Customer visited branch, paid R750 cash. Account now current."
COLL-202106-00028,ACC0000813,IND1901000596,1226.77,22,pre_delinquent,2021-06-11,phone_call,477.99,2021-06-27,,resolved,Nomsa Dlamini,New case opened from failed loan repayment and churned relationship status. Debit order returned NSF for third time. Recommend restructuring.
COLL-202106-00029,ACC0012779,IND1908015603,1065.68,56,early_collections,2021-06-29,phone_call,,,,resolved,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Settlement offer of R1 200 communicated; customer requested until month-end.
COLL-202106-00030,ACC0010199,IND1907004108,2907.2,117,legal,2021-06-28,phone_call,1241.26,2021-06-25,,resolved,David Govender,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R1 241/month for 6 months starting 18 December. Escalating to legal.
COLL-202106-00031,ACC0015066,IND1910003685,4705.53,17,pre_delinquent,2021-06-07,branch_visit,,,,resolved,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R750/month for 6 months starting 11 December.
COLL-202106-00033,ACC0010067,IND1907014341,1685.03,99,legal,2021-06-06,branch_visit,,,,resolved,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.
COLL-202106-00034,ACC0007973,IND1905006781,3668.68,45,early_collections,2021-06-25,branch_visit,,,,open,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Promise to pay recorded after outbound call. Follow-up scheduled.
