case_id,account_id,customer_id,arrears_amount,days_past_due,collection_stage,last_contact_date,last_contact_channel,promise_to_pay_amount,promise_to_pay_date,arrangement_plan,status,assigned_collector,notes,drop_reason,minimum_observed_date
COLL-201902-00001,ACC0001365,IND1901015299,245.95,24,pre_delinquent,2019-02-26,branch_visit,64.64,2019-03-10,,closed,Johan Botha,New case opened from failed loan repayment and churned relationship status. Churned customer — no active transactional account; pursuing outstanding loan balance.,before_collection_start,
COLL-201902-00002,ACC0001369,IND1901008338,1978.49,21,pre_delinquent,2019-02-23,phone_call,798.34,2019-02-22,,closed,Pieter van der Merwe,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal.",before_collection_start,
COLL-201902-00003,ACC0000134,IND1901012457,3478.09,51,early_collections,2019-02-14,branch_visit,,,payment_holiday,open,David Govender,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R1 500/month for 6 months starting 28 June. Arrangement: payment holiday.,before_collection_start,
COLL-201902-00004,ACC0000774,IND1901000369,1568.42,53,early_collections,2019-02-06,branch_visit,608.1,2019-02-16,,open,Thabo Mokoena,New case opened from failed loan repayment and churned relationship status. Settlement offer of R608 communicated; customer requested until month-end.,before_collection_start,
COLL-201902-00005,ACC0000774,IND1901000369,2319.58,65,late_collections,2019-02-20,branch_visit,,,,open,Johan Botha,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00006,ACC0001365,IND1901015299,200.0,1,pre_delinquent,2019-02-21,letter,,,,open,Fatima Patel,New case opened from failed loan repayment and churned relationship status. Legal letter sent via registered post. Awaiting response before summons.,before_collection_start,
COLL-201902-00007,ACC0001012,IND1901008033,3412.52,70,late_collections,2019-02-17,branch_visit,,,,open,Ayanda Mthembu,New case opened from failed loan repayment and churned relationship status. Former churned customer returned; new arrears flagged after failed debit order.,before_collection_start,
COLL-201902-00008,ACC0000213,IND1901003541,983.57,15,pre_delinquent,2019-02-18,branch_visit,,,,resolved,Zanele Ndlovu,New case opened from failed loan repayment and churned relationship status. Arrangement agreed: R750/month for 6 months starting 22 November.,before_collection_start,
COLL-201902-00009,ACC0000390,IND1901002143,935.44,68,late_collections,2019-02-26,phone_call,,,,open,David Govender,"New case opened from failed loan repayment and churned relationship status. Phone disconnected. Sent SMS, no response. Escalating to legal.",before_collection_start,
COLL-201902-00010,ACC0000213,IND1901003541,891.93,61,late_collections,2019-02-22,phone_call,,,settlement_offer,open,Lerato Khumalo,New case opened from failed loan repayment and churned relationship status. Settlement offer of R1 500 communicated; customer requested until month-end. Arrangement: settlement offer.,before_collection_start,
