comm_id,account_id,customer_id,channel,direction,timestamp,subject,body,sentiment,is_complaint,complaint_category
COMM-202312-000001,ACC0020121,IND2007002208,app_message,inbound,2023-12-24T12:50:01+02:00,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date. I saw the article 'Banks watch debit-order strain as households adjust spending' and wanted to check how it affects my account.,negative,True,service_delay
COMM-202312-000002,ACC0023444,IND2102014150,social_media,inbound,2023/12/08 07:22:13,Complaint about service,The service delay is frustrating. I have followed up more than once and still do not have a proper answer.,neutral,False,
COMM-202312-000003,ACC0064584,COM2304000502,email,inbound,2023-12-07 06:09:12,Account enquiry,Please assist with my banking enquiry.,neutral,False,
COMM-202312-000004,ACC0047631,IND2207017432,email,inbound,2023-12-29 09:01:20,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,fraud_concern
COMM-202312-000005,ACC0035656,IND2111011853,social_media,inbound,2023/12/28 06:21:10,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,neutral,False,
COMM-202312-000006,ACC0028632,IND2106000018,phone_call,inbound,07/12/2023 14:00,Card blocked at ATM,My card was blocked at the ATM and I need access restored or a replacement card arranged. I have an urgent payment to make.,negative,True,failed_transaction
COMM-202312-000007,ACC0072121,IND2308006786,social_media,inbound,2023/12/05 14:41:25,Why did my debit order fail?,"My debit order did not go through and I need to know whether it was insufficient funds, a retry problem or a bank processing issue. The account should not be charged twice.",negative,True,staff_behavior
COMM-202312-000008,ACC0030021,COM2106000312,app_message,outbound,2023-12-23T11:34:54+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202312-000009,ACC0075323,IND2310000686,phone_call,inbound,11/12/2023 08:53,Home Loan rate increase question,I am worried my home loan instalment may change. Please confirm whether my repayment will be repriced and from which date.,neutral,False,
COMM-202312-000010,ACC0074062,IND2309009963,email,inbound,2023-12-06 14:22:46,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,positive,False,
COMM-202312-000011,ACC0074138,IND2309012443,sms,outbound,2023-12-06T06:18:16+02:00,Branch holiday hours,Please note adjusted branch hours this month. Digital channels remain available for balance checks and transfers.,neutral,False,
COMM-202312-000012,ACC0014042,IND1909002071,app_message,inbound,2023-12-14T10:01:40+02:00,Balance check,Please confirm my available balance and whether any debit orders are still pending.,negative,True,service_delay
COMM-202312-000013,ACC0066378,IND2305025518,sms,outbound,2023-12-20T18:53:17+02:00,New statement available,"Your latest account statement is available. Please review the charges, interest and debit order activity.",neutral,False,
COMM-202312-000014,ACC0031061,IND2107013545,app_message,inbound,2023-12-16T18:41:43+02:00,Unauthorised bank charge enquiry,Please explain the latest bank charge on my statement. I cannot see why this fee was taken and I want it reversed if it was incorrect.,negative,True,incorrect_charge
